payment_id,order_id,amount,currency,status,payment_method,payment_captured_at,created_at
pay_3d43e7b7p0rnpm,ORD-10050,77000,INR,captured,card,2024-03-08 12:02:00,2024-03-08 12:02:00
pay_jqfwwxr5rdnpx2,ORD-10051,1433700,INR,captured,upi,2024-03-21 15:01:00,2024-03-21 15:01:00
pay_w2292mtr6snglh,ORD-10052,162700,INR,captured,netbanking,2024-12-07 17:28:00,2024-12-07 17:28:00
pay_c9t199dxj37c9h,ORD-10053,3233100,INR,captured,upi,2024-02-29 04:00:00,2024-02-29 04:00:00
pay_m44gv3z6bz8uug,ORD-10054,1290800,INR,captured,card,2024-04-17 22:37:00,2024-04-17 22:37:00
pay_tgbcvarlw3mg25,ORD-10055,99900,INR,captured,upi,2024-05-08 01:07:00,2024-05-08 01:07:00
pay_av71448n7odkef,ORD-10056,101300,INR,captured,wallet,2024-06-19 04:54:00,2024-06-19 04:54:00
pay_28xg8y72ivglye,ORD-10057,260800,INR,captured,upi,2024-10-09 22:28:00,2024-10-09 22:28:00
pay_88o98bv78hu7f0,ORD-10058,272000,INR,captured,upi,2024-10-06 02:01:00,2024-10-06 02:01:00
pay_mlw83y0mahym2z,ORD-10059,304300,INR,captured,netbanking,2024-01-22 09:25:00,2024-01-22 09:25:00
pay_n085rntdr5xyfc,ORD-10060,1188200,INR,captured,card,2024-12-15 07:44:00,2024-12-15 07:44:00
pay_kl8cgn0t6dvwrb,ORD-10061,403100,INR,captured,netbanking,2024-05-01 05:57:00,2024-05-01 05:57:00
pay_vpbl9ot7txkdot,ORD-10062,593700,INR,captured,upi,2024-06-19 14:07:00,2024-06-19 14:07:00
pay_fmpkxvhagkc4lo,ORD-10063,62500,INR,captured,card,2024-02-25 13:11:00,2024-02-25 13:11:00
pay_6jxnnngbpj4ufz,ORD-10064,313300,INR,captured,netbanking,2024-08-23 11:23:00,2024-08-23 11:23:00
pay_dmt8vt43pt5r5r,ORD-10065,169200,INR,captured,upi,2024-12-03 06:28:00,2024-12-03 06:28:00
pay_o4busu9f8q8ghg,ORD-10066,101800,INR,captured,upi,2024-11-24 16:27:00,2024-11-24 16:27:00
pay_p9p9w4j66cnolj,ORD-10067,45500,INR,captured,upi,2024-02-29 08:26:00,2024-02-29 08:26:00
pay_7azv2efuu8dd22,ORD-10068,144300,INR,captured,upi,2024-11-01 13:40:00,2024-11-01 13:40:00
pay_55jxurgowyoo5y,ORD-10069,696500,INR,captured,netbanking,2024-09-18 03:26:00,2024-09-18 03:26:00
pay_076a3kkrzd5e9p,ORD-10070,38900,INR,captured,netbanking,2024-08-11 00:44:00,2024-08-11 00:44:00
pay_jpxgh30153sfls,ORD-10071,394500,INR,captured,upi,2024-12-09 06:28:00,2024-12-09 06:28:00
pay_2sug5hcbbmhnqo,ORD-10072,664200,INR,captured,netbanking,2024-12-05 03:50:00,2024-12-05 03:50:00
pay_yirq8rtm4j3dab,ORD-10073,1392500,INR,captured,upi,2024-07-28 10:44:00,2024-07-28 10:44:00
pay_2hhihxs58yreg2,ORD-10074,424300,INR,captured,upi,2024-12-06 12:51:00,2024-12-06 12:51:00
pay_j2k8xpnmjqy3od,ORD-10075,642900,INR,captured,card,2024-07-26 18:10:00,2024-07-26 18:10:00
pay_984uvkyrmjljx8,ORD-10076,432000,INR,captured,upi,2024-10-23 19:51:00,2024-10-23 19:51:00
pay_gsic43olfark6o,ORD-10077,167400,INR,captured,netbanking,2024-09-18 15:52:00,2024-09-18 15:52:00
pay_u93mzywr7mkgxu,ORD-10078,134600,INR,captured,upi,2024-05-25 16:52:00,2024-05-25 16:52:00
pay_dej31gymdm0l2l,ORD-10079,342300,INR,captured,netbanking,2024-12-10 09:23:00,2024-12-10 09:23:00
pay_vqebwuwqheyto5,ORD-10080,375600,INR,captured,netbanking,2024-05-05 15:44:00,2024-05-05 15:44:00
pay_ehou6qlz2rwgwa,ORD-10081,249600,INR,captured,upi,2024-11-18 18:21:00,2024-11-18 18:21:00
pay_h1uf22eppprat0,ORD-10082,50300,INR,captured,upi,2024-05-04 04:42:00,2024-05-04 04:42:00
pay_61taa0i5ldslcb,ORD-10083,379100,INR,captured,upi,2024-03-31 22:43:00,2024-03-31 22:43:00
pay_qsspye9r1f63ai,ORD-10084,1995600,INR,captured,upi,2024-03-09 14:47:00,2024-03-09 14:47:00
pay_hasez2nx1wvbd4,ORD-10085,286600,INR,captured,netbanking,2024-08-06 17:30:00,2024-08-06 17:30:00
pay_ypntrfzwkxxjve,ORD-10086,186000,INR,captured,upi,2024-05-06 20:21:00,2024-05-06 20:21:00
pay_swk2rv239moft6,ORD-10087,61900,INR,captured,card,2024-05-02 08:44:00,2024-05-02 08:44:00
pay_lay64yfds0dji9,ORD-10088,372400,INR,captured,upi,2024-06-20 11:07:00,2024-06-20 11:07:00
pay_jb354mype46aex,ORD-10089,3015400,INR,captured,upi,2024-07-15 22:20:00,2024-07-15 22:20:00
pay_mpw5d3go8jn42x,ORD-10090,533800,INR,captured,upi,2024-06-18 17:35:00,2024-06-18 17:35:00
pay_ezc7fov2ygnmby,ORD-10091,518900,INR,captured,netbanking,2024-10-26 22:06:00,2024-10-26 22:06:00
pay_rr5pcxa5s00i85,ORD-10092,30200,INR,captured,upi,2024-06-29 10:05:00,2024-06-29 10:05:00
pay_szdximyn4u9bxf,ORD-10093,116400,INR,captured,card,2024-10-06 20:13:00,2024-10-06 20:13:00
pay_45cri8bixoiq2q,ORD-10094,119100,INR,captured,upi,2024-09-05 00:40:00,2024-09-05 00:40:00
pay_qerxdouadvwksh,ORD-10095,147500,INR,captured,upi,2024-08-27 04:54:00,2024-08-27 04:54:00
pay_8nbiquwrxze1hm,ORD-10096,281000,INR,captured,upi,2024-12-05 00:15:00,2024-12-05 00:15:00
pay_tnd6r30ojhe4h3,ORD-10097,154300,INR,captured,upi,2024-01-26 08:31:00,2024-01-26 08:31:00
pay_zdo74v1qx8ertb,ORD-10098,109000,INR,captured,wallet,2024-07-13 09:02:00,2024-07-13 09:02:00
pay_4rs7gu0env5sn9,ORD-10099,46600,INR,captured,upi,2024-08-28 00:55:00,2024-08-28 00:55:00
pay_j88qeoz0kz4z7w,ORD-10100,682400,INR,captured,upi,2024-02-05 20:09:00,2024-02-05 20:09:00
pay_hzy7ez9gtwz1uu,ORD-10101,96500,INR,captured,card,2024-11-14 04:29:00,2024-11-14 04:29:00
pay_y6t5padnbcj29y,ORD-10102,139100,INR,captured,upi,2024-08-26 22:21:00,2024-08-26 22:21:00
pay_4yk1b3d5050ui2,ORD-10103,337500,INR,captured,upi,2024-03-24 09:16:00,2024-03-24 09:16:00
pay_ybno2y8b0h54pi,ORD-10104,203600,INR,captured,card,2024-07-22 22:24:00,2024-07-22 22:24:00
pay_1tv18kgyggsnpu,ORD-10105,2784400,INR,captured,netbanking,2024-06-03 21:43:00,2024-06-03 21:43:00
pay_f4aq7b7v1w4k2t,ORD-10106,2245500,INR,captured,card,2024-08-07 21:26:00,2024-08-07 21:26:00
pay_2lhgcsotdhhlmh,ORD-10107,988100,INR,captured,wallet,2024-09-07 03:47:00,2024-09-07 03:47:00
pay_t939ayq6ww8yl6,ORD-10108,61200,INR,captured,upi,2024-08-10 05:50:00,2024-08-10 05:50:00
pay_ntk63n2qb6gs8g,ORD-10109,942000,INR,captured,upi,2024-08-26 14:10:00,2024-08-26 14:10:00
pay_twhwhy4h350p3c,ORD-10110,90100,INR,captured,upi,2024-02-14 09:01:00,2024-02-14 09:01:00
pay_azbcgjc36oqolo,ORD-10111,299800,INR,captured,card,2024-12-08 12:25:00,2024-12-08 12:25:00
pay_txw1vzc7d2kd1p,ORD-10112,249600,INR,captured,card,2024-04-18 12:04:00,2024-04-18 12:04:00
pay_3bfh024kwk585x,ORD-10113,602500,INR,captured,netbanking,2024-10-11 00:34:00,2024-10-11 00:34:00
pay_tteavt8k06moxs,ORD-10114,739700,INR,captured,upi,2024-07-27 15:41:00,2024-07-27 15:41:00
pay_gwjeyub19txcyj,ORD-10115,185600,INR,captured,card,2024-09-08 14:57:00,2024-09-08 14:57:00
pay_0rlexdw6lqwlvu,ORD-10116,481100,INR,captured,upi,2024-12-20 07:31:00,2024-12-20 07:31:00
pay_38gl2zxjmylrq1,ORD-10117,58200,INR,captured,wallet,2024-09-28 11:43:00,2024-09-28 11:43:00
pay_tgv44ftj5ccasb,ORD-10118,1986700,INR,captured,card,2024-05-18 09:35:00,2024-05-18 09:35:00
pay_u1hbj6txfo6v4e,ORD-10119,64300,INR,captured,card,2024-10-01 22:28:00,2024-10-01 22:28:00
pay_sosx43wfsqg8x8,ORD-10120,137300,INR,captured,netbanking,2024-11-01 09:22:00,2024-11-01 09:22:00
pay_7b1ijiys2n75bx,ORD-10121,445500,INR,captured,upi,2024-04-01 09:04:00,2024-04-01 09:04:00
pay_zs34jtgxnx4sn6,ORD-10122,39200,INR,captured,upi,2024-01-28 17:35:00,2024-01-28 17:35:00
pay_o3m25a5piskffv,ORD-10123,194000,INR,captured,card,2024-09-08 03:59:00,2024-09-08 03:59:00
pay_xoleyrvxoieves,ORD-10124,54400,INR,captured,wallet,2024-08-13 10:30:00,2024-08-13 10:30:00
pay_ff7so8w5038hvq,ORD-10125,35700,INR,captured,card,2024-02-03 12:47:00,2024-02-03 12:47:00
pay_g3v23gxj0mqvin,ORD-10126,2477600,INR,captured,wallet,2024-10-15 09:09:00,2024-10-15 09:09:00
pay_as6y3vg6v5t1dx,ORD-10127,118100,INR,captured,upi,2024-08-01 19:58:00,2024-08-01 19:58:00
pay_ta7ypp5zp7r1m2,ORD-10128,88800,INR,captured,netbanking,2024-08-18 14:38:00,2024-08-18 14:38:00
pay_deri4k5ogz2uea,ORD-10129,1231500,INR,captured,wallet,2024-11-13 01:46:00,2024-11-13 01:46:00
pay_ylnfxj4pnjy1o2,ORD-10130,252700,INR,captured,card,2024-05-15 21:21:00,2024-05-15 21:21:00
pay_gur9u1oe5ei28d,ORD-10131,47500,INR,captured,upi,2024-03-21 00:43:00,2024-03-21 00:43:00
pay_omtzzf8adf7pch,ORD-10132,353300,INR,captured,card,2024-04-28 09:48:00,2024-04-28 09:48:00
pay_v07oxk8c1gra47,ORD-10133,341100,INR,captured,upi,2024-05-15 20:54:00,2024-05-15 20:54:00
pay_kbvsigbiaf92mo,ORD-10134,293900,INR,captured,card,2024-10-05 08:00:00,2024-10-05 08:00:00
pay_haz7t0uum3i8qo,ORD-10135,1967800,INR,captured,card,2024-01-31 05:51:00,2024-01-31 05:51:00
pay_jodck82853uy8u,ORD-10136,130800,INR,captured,upi,2024-08-27 22:27:00,2024-08-27 22:27:00
pay_18qqvaecw9yil8,ORD-10137,105100,INR,captured,upi,2024-09-09 14:22:00,2024-09-09 14:22:00
pay_tzjko0mtglhug0,ORD-10138,211900,INR,captured,card,2024-11-05 08:08:00,2024-11-05 08:08:00
pay_rh05hhiwfd7yxw,ORD-10139,436300,INR,captured,upi,2024-05-17 18:20:00,2024-05-17 18:20:00
pay_84nl65ujg1so1e,ORD-10140,56400,INR,captured,card,2024-11-29 15:15:00,2024-11-29 15:15:00
pay_2rtsoyg9zqyahu,ORD-10141,140600,INR,captured,upi,2024-02-16 15:33:00,2024-02-16 15:33:00
pay_n5gjj8mgpp1noq,ORD-10142,142700,INR,captured,upi,2024-03-23 10:45:00,2024-03-23 10:45:00
pay_euidjipnf8f3gr,ORD-10143,487000,INR,captured,upi,2024-07-24 17:19:00,2024-07-24 17:19:00
pay_tlrj4bdfhj4d0j,ORD-10144,96100,INR,captured,upi,2024-02-29 13:07:00,2024-02-29 13:07:00
pay_u7jae58huxg2my,ORD-10145,455900,INR,captured,card,2024-10-04 14:42:00,2024-10-04 14:42:00
pay_1qcwq85x7pwo6c,ORD-10146,2133300,INR,captured,card,2024-11-16 14:59:00,2024-11-16 14:59:00
pay_ilkjxjq5nv8oga,ORD-10147,53300,INR,captured,upi,2024-05-27 15:04:00,2024-05-27 15:04:00
pay_x7zcgdc5tao1cj,ORD-10148,1332100,INR,captured,card,2024-11-07 07:50:00,2024-11-07 07:50:00
pay_d7oi0pesgbm65q,ORD-10149,81600,INR,captured,netbanking,2024-02-17 08:11:00,2024-02-17 08:11:00
pay_7te8tvq05pxt6r,ORD-10150,2622300,INR,captured,upi,2024-03-19 16:07:00,2024-03-19 16:07:00
pay_2pnjka34mqa78r,ORD-10151,85800,INR,captured,card,2024-07-31 15:31:00,2024-07-31 15:31:00
pay_12v2tg5pizx3hc,ORD-10152,356000,INR,captured,netbanking,2024-11-02 16:55:00,2024-11-02 16:55:00
pay_s2wyjxtjgcedqq,ORD-10153,114800,INR,captured,netbanking,2024-06-23 16:37:00,2024-06-23 16:37:00
pay_rlf8a9kepadahp,ORD-10154,202100,INR,captured,upi,2024-10-27 18:58:00,2024-10-27 18:58:00
pay_9q2l48c1cqg433,ORD-10155,278200,INR,captured,upi,2024-06-25 10:39:00,2024-06-25 10:39:00
pay_9zn9i9h0dxho87,ORD-10156,211700,INR,captured,upi,2024-04-06 22:21:00,2024-04-06 22:21:00
pay_wb7sjwh55hewlg,ORD-10157,235600,INR,captured,upi,2024-06-11 23:39:00,2024-06-11 23:39:00
pay_voi8uyyf1irym8,ORD-10158,743500,INR,captured,wallet,2024-11-29 04:33:00,2024-11-29 04:33:00
pay_cxz2ei9212pgym,ORD-10159,148700,INR,captured,card,2024-10-29 11:00:00,2024-10-29 11:00:00
pay_jbzutrutlq5v4f,ORD-10160,2223300,INR,captured,card,2024-08-21 01:03:00,2024-08-21 01:03:00
pay_fkjnawnga41izx,ORD-10161,534500,INR,captured,upi,2024-05-15 10:57:00,2024-05-15 10:57:00
pay_3gy1fkoldxb7gb,ORD-10162,149100,INR,captured,upi,2024-07-13 10:44:00,2024-07-13 10:44:00
pay_rdu4xszjnvc7hr,ORD-10163,43500,INR,captured,upi,2024-11-12 02:18:00,2024-11-12 02:18:00
pay_qxm0632cwt04ch,ORD-10164,761600,INR,captured,upi,2024-02-16 13:23:00,2024-02-16 13:23:00
pay_d0tgsiwg0odwmq,ORD-10165,148000,INR,captured,upi,2024-06-02 00:16:00,2024-06-02 00:16:00
pay_5ggomf9pml9ln1,ORD-10166,887200,INR,captured,card,2024-07-10 13:23:00,2024-07-10 13:23:00
pay_3litnt0mq8abka,ORD-10167,123600,INR,captured,upi,2024-03-28 05:10:00,2024-03-28 05:10:00
pay_9kkh4a3yjtu7fb,ORD-10168,544400,INR,captured,card,2024-09-11 18:21:00,2024-09-11 18:21:00
pay_fj6ijkuuhclrr6,ORD-10169,184400,INR,captured,netbanking,2024-12-07 01:16:00,2024-12-07 01:16:00
pay_3dxb3n27m5p7e1,ORD-10170,323700,INR,captured,netbanking,2024-03-21 02:48:00,2024-03-21 02:48:00
pay_7wwbslulzfy981,ORD-10171,126700,INR,captured,netbanking,2024-12-19 08:48:00,2024-12-19 08:48:00
pay_shkoecubods1ee,ORD-10172,595700,INR,captured,upi,2024-02-24 07:42:00,2024-02-24 07:42:00
pay_houu9sijpyueon,ORD-10173,90300,INR,captured,card,2024-01-12 21:32:00,2024-01-12 21:32:00
pay_lvak9w9pfb3hn1,ORD-10174,963700,INR,captured,netbanking,2024-05-26 07:41:00,2024-05-26 07:41:00
pay_eb8753ayeqahth,ORD-10175,78800,INR,captured,upi,2024-11-13 09:00:00,2024-11-13 09:00:00
pay_1tw9zyn6sjchzj,ORD-10176,59700,INR,captured,card,2024-11-17 20:17:00,2024-11-17 20:17:00
pay_xanj4x5a5xin9d,ORD-10177,337200,INR,captured,card,2024-07-05 23:19:00,2024-07-05 23:19:00
pay_rvdh8uzb7kr0ay,ORD-10178,124900,INR,captured,upi,2024-03-30 06:20:00,2024-03-30 06:20:00
pay_wi9s3w563btkf6,ORD-10179,101200,INR,captured,netbanking,2024-05-19 05:21:00,2024-05-19 05:21:00
pay_dn8wwiif86lthe,ORD-10180,854800,INR,captured,card,2024-02-28 14:22:00,2024-02-28 14:22:00
pay_yhey66p61xufct,ORD-10181,396500,INR,captured,netbanking,2024-12-11 12:58:00,2024-12-11 12:58:00
pay_g4fbl98k03w0fg,ORD-10182,473100,INR,captured,card,2024-01-08 08:39:00,2024-01-08 08:39:00
pay_g1wjuiiymyrsvz,ORD-10183,406600,INR,captured,upi,2024-12-10 08:49:00,2024-12-10 08:49:00
pay_gnrfio878iyhhg,ORD-10184,2711200,INR,captured,upi,2024-04-29 15:16:00,2024-04-29 15:16:00
pay_5rlqiob0nlw0vs,ORD-10185,512500,INR,captured,netbanking,2024-11-27 02:42:00,2024-11-27 02:42:00
pay_sq3b9so0uswbko,ORD-10186,123500,INR,captured,netbanking,2024-02-29 04:12:00,2024-02-29 04:12:00
pay_1kfk7y6qxdsgv6,ORD-10187,35800,INR,captured,upi,2024-02-19 08:14:00,2024-02-19 08:14:00
pay_eoqgvzhqjy62ze,ORD-10188,231800,INR,captured,netbanking,2024-12-09 23:48:00,2024-12-09 23:48:00
pay_zwdz09wftbgm55,ORD-10189,113100,INR,captured,netbanking,2024-07-31 20:12:00,2024-07-31 20:12:00
pay_5gzpl1qweehwjq,ORD-10190,36600,INR,captured,upi,2024-12-19 11:29:00,2024-12-19 11:29:00
pay_ta5ivrocvitwu3,ORD-10191,825400,INR,captured,netbanking,2024-12-17 11:36:00,2024-12-17 11:36:00
pay_gbmfbuvldd9fkx,ORD-10192,262900,INR,captured,netbanking,2024-05-21 06:27:00,2024-05-21 06:27:00
pay_uu80mb1l6314cq,ORD-10193,323600,INR,captured,wallet,2024-11-24 20:42:00,2024-11-24 20:42:00
pay_zjsszwd0w9ry79,ORD-10194,89700,INR,captured,card,2024-03-05 18:23:00,2024-03-05 18:23:00
pay_p4juw7wr0r35ik,ORD-10195,138300,INR,captured,card,2024-04-29 10:56:00,2024-04-29 10:56:00
pay_aawe429omuwahk,ORD-10196,59500,INR,captured,upi,2024-03-07 17:19:00,2024-03-07 17:19:00
pay_lslaym0wbglmy6,ORD-10197,454700,INR,captured,upi,2024-01-14 04:02:00,2024-01-14 04:02:00
pay_xrw6tm2o04k0lt,ORD-10198,182500,INR,captured,card,2024-01-09 05:23:00,2024-01-09 05:23:00
pay_ul62cf4mntfvge,ORD-10199,61500,INR,captured,upi,2024-02-02 15:38:00,2024-02-02 15:38:00
pay_zlboriq8hke226,ORD-10200,94500,INR,captured,netbanking,2024-08-19 16:29:00,2024-08-19 16:29:00
pay_s26fmr5ll1d9s9,ORD-10201,349700,INR,captured,upi,2024-09-23 09:36:00,2024-09-23 09:36:00
pay_0qzsa7yvdqbsxl,ORD-10202,296000,INR,captured,card,2024-07-24 14:02:00,2024-07-24 14:02:00
pay_1whhkt1yjfe8ud,ORD-10203,216000,INR,captured,card,2024-06-13 19:27:00,2024-06-13 19:27:00
pay_mlfzkicwmpeqyd,ORD-10204,682600,INR,captured,card,2024-07-14 19:35:00,2024-07-14 19:35:00
pay_doz6wyqmlh13c7,ORD-10205,854700,INR,captured,netbanking,2024-02-20 22:22:00,2024-02-20 22:22:00
pay_ud2zdlx1q8f6jn,ORD-10206,569800,INR,captured,netbanking,2024-04-26 13:27:00,2024-04-26 13:27:00
pay_zx25qbrmqg1ved,ORD-10207,797500,INR,captured,card,2024-02-18 10:31:00,2024-02-18 10:31:00
pay_lx2toowt9nm3v2,ORD-10208,1000000,INR,captured,card,2024-12-17 15:18:00,2024-12-17 15:18:00
pay_umygy0z4evldql,ORD-10209,503600,INR,captured,upi,2024-02-20 00:00:00,2024-02-20 00:00:00
pay_cd31nrxd356waf,ORD-10210,46000,INR,captured,upi,2024-10-27 17:40:00,2024-10-27 17:40:00
pay_qkwqh5k2y77z69,ORD-10211,489500,INR,captured,netbanking,2024-12-06 14:14:00,2024-12-06 14:14:00
pay_a9oekntbz3m55i,ORD-10212,1283600,INR,captured,upi,2024-06-08 11:25:00,2024-06-08 11:25:00
pay_olnntxrgn74f9y,ORD-10213,4659900,INR,captured,netbanking,2024-04-24 03:27:00,2024-04-24 03:27:00
pay_axf5x9ee346z7w,ORD-10214,2998800,INR,captured,netbanking,2024-05-22 18:29:00,2024-05-22 18:29:00
pay_stqmgvu4isotn9,ORD-10215,588000,INR,captured,upi,2024-01-15 05:36:00,2024-01-15 05:36:00
pay_rnu8c0s41kssvi,ORD-10216,111700,INR,captured,card,2024-01-04 05:58:00,2024-01-04 05:58:00
pay_ytuw6taq6ulm9k,ORD-10217,266100,INR,captured,upi,2024-11-20 00:11:00,2024-11-20 00:11:00
pay_b700ucrgb93wkc,ORD-10218,543800,INR,captured,upi,2024-08-20 10:27:00,2024-08-20 10:27:00
pay_c2jwjj0v60xng2,ORD-10219,294100,INR,captured,card,2024-02-13 01:17:00,2024-02-13 01:17:00
pay_r25mdf7fr91ipw,ORD-10220,133300,INR,captured,upi,2024-05-19 14:49:00,2024-05-19 14:49:00
pay_u4bj3bqrr87iyo,ORD-10221,423600,INR,captured,upi,2024-04-20 16:16:00,2024-04-20 16:16:00
pay_f5a7qy8yb7w8p7,ORD-10222,1411000,INR,captured,upi,2024-12-13 18:40:00,2024-12-13 18:40:00
pay_mjdxo100vhmygt,ORD-10223,190200,INR,captured,card,2024-07-21 19:04:00,2024-07-21 19:04:00
pay_3addqhkgad7x48,ORD-10224,192300,INR,captured,card,2024-05-10 09:24:00,2024-05-10 09:24:00
pay_ze4ex6u86zjq7w,ORD-10225,256200,INR,captured,upi,2024-03-30 04:33:00,2024-03-30 04:33:00
pay_1yy1j2jcn9j3gc,ORD-10226,107100,INR,captured,upi,2024-12-08 11:11:00,2024-12-08 11:11:00
pay_vgrf1hx6zdcujq,ORD-10227,215200,INR,captured,card,2024-08-23 03:11:00,2024-08-23 03:11:00
pay_fx7xjz6us7rp42,ORD-10228,215500,INR,captured,card,2024-11-23 13:21:00,2024-11-23 13:21:00
