entity_type,entity_id,expected_related_id,expected_status,expected_difference,expected_exception_type
ORDER,ORD-10100,,MATCHED,0,NONE
ORDER,ORD-10101,,MATCHED,0,NONE
ORDER,ORD-10102,,MATCHED,0,NONE
ORDER,ORD-10103,,MATCHED,0,NONE
ORDER,ORD-10104,,MATCHED,0,NONE
ORDER,ORD-10105,,MATCHED,0,NONE
ORDER,ORD-10106,,MATCHED,0,NONE
ORDER,ORD-10107,,MATCHED,0,NONE
ORDER,ORD-10108,,MATCHED,0,NONE
ORDER,ORD-10109,,MATCHED,0,NONE
ORDER,ORD-10110,,MATCHED,0,NONE
ORDER,ORD-10111,,MATCHED,0,NONE
ORDER,ORD-10112,,MATCHED,0,NONE
ORDER,ORD-10113,,MATCHED,0,NONE
ORDER,ORD-10114,,MATCHED,0,NONE
ORDER,ORD-10115,,MATCHED,0,NONE
ORDER,ORD-10116,,MATCHED,0,NONE
ORDER,ORD-10117,,MATCHED,0,NONE
ORDER,ORD-10118,,MATCHED,0,NONE
ORDER,ORD-10119,,MATCHED,0,NONE
ORDER,ORD-10120,,MATCHED,0,NONE
ORDER,ORD-10121,,MATCHED,0,NONE
ORDER,ORD-10122,,MATCHED,0,NONE
ORDER,ORD-10123,,MATCHED,0,NONE
ORDER,ORD-10124,,MATCHED,0,NONE
ORDER,ORD-10125,,MATCHED,0,NONE
ORDER,ORD-10126,,MATCHED,0,NONE
ORDER,ORD-10127,,MATCHED,0,NONE
ORDER,ORD-10128,,MATCHED,0,NONE
ORDER,ORD-10129,,MATCHED,0,NONE
ORDER,ORD-10130,,MATCHED,0,NONE
ORDER,ORD-10131,,MATCHED,0,NONE
ORDER,ORD-10132,,MATCHED,0,NONE
ORDER,ORD-10133,,MATCHED,0,NONE
ORDER,ORD-10134,,MATCHED,0,NONE
ORDER,ORD-10135,,MATCHED,0,NONE
ORDER,ORD-10136,,MATCHED,0,NONE
ORDER,ORD-10137,,MATCHED,0,NONE
ORDER,ORD-10138,,MATCHED,0,NONE
ORDER,ORD-10139,,MATCHED,0,NONE
ORDER,ORD-10140,,MATCHED,0,NONE
ORDER,ORD-10141,,MATCHED,0,NONE
ORDER,ORD-10142,,MATCHED,0,NONE
ORDER,ORD-10143,,MATCHED,0,NONE
ORDER,ORD-10144,,MATCHED,0,NONE
ORDER,ORD-10145,,MATCHED,0,NONE
ORDER,ORD-10146,,MATCHED,0,NONE
ORDER,ORD-10147,,MATCHED,0,NONE
ORDER,ORD-10148,,MATCHED,0,NONE
ORDER,ORD-10149,,MATCHED,0,NONE
ORDER,ORD-10150,,MATCHED,0,NONE
ORDER,ORD-10151,,MATCHED,0,NONE
ORDER,ORD-10152,,MATCHED,0,NONE
ORDER,ORD-10153,,MATCHED,0,NONE
ORDER,ORD-10154,,MATCHED,0,NONE
ORDER,ORD-10155,,MATCHED,0,NONE
ORDER,ORD-10156,,MATCHED,0,NONE
ORDER,ORD-10157,,MATCHED,0,NONE
ORDER,ORD-10158,,MATCHED,0,NONE
ORDER,ORD-10159,,MATCHED,0,NONE
ORDER,ORD-10160,,MATCHED,0,NONE
ORDER,ORD-10161,,MATCHED,0,NONE
ORDER,ORD-10162,,MATCHED,0,NONE
ORDER,ORD-10163,,MATCHED,0,NONE
ORDER,ORD-10164,,MATCHED,0,NONE
ORDER,ORD-10165,,MATCHED,0,NONE
ORDER,ORD-10166,,MATCHED,0,NONE
ORDER,ORD-10167,,MATCHED,0,NONE
ORDER,ORD-10168,,MATCHED,0,NONE
ORDER,ORD-10169,,MATCHED,0,NONE
ORDER,ORD-10170,,MATCHED,0,NONE
ORDER,ORD-10171,,MATCHED,0,NONE
ORDER,ORD-10172,,MATCHED,0,NONE
ORDER,ORD-10173,,MATCHED,0,NONE
ORDER,ORD-10174,,MATCHED,0,NONE
ORDER,ORD-10175,,MATCHED,0,NONE
ORDER,ORD-10176,,MATCHED,0,NONE
ORDER,ORD-10177,,MATCHED,0,NONE
ORDER,ORD-10178,,MATCHED,0,NONE
ORDER,ORD-10179,,MATCHED,0,NONE
ORDER,ORD-10180,,MATCHED,0,NONE
ORDER,ORD-10181,,MATCHED,0,NONE
ORDER,ORD-10182,,MATCHED,0,NONE
ORDER,ORD-10183,,MATCHED,0,NONE
ORDER,ORD-10184,,MATCHED,0,NONE
ORDER,ORD-10185,,MATCHED,0,NONE
ORDER,ORD-10186,,MATCHED,0,NONE
ORDER,ORD-10187,,MATCHED,0,NONE
ORDER,ORD-10188,,MATCHED,0,NONE
ORDER,ORD-10189,,MATCHED,0,NONE
ORDER,ORD-10190,,MATCHED,0,NONE
ORDER,ORD-10191,,MATCHED,0,NONE
ORDER,ORD-10192,,MATCHED,0,NONE
ORDER,ORD-10193,,MATCHED,0,NONE
ORDER,ORD-10194,,MATCHED,0,NONE
ORDER,ORD-10195,,MATCHED,0,NONE
ORDER,ORD-10196,,MATCHED,0,NONE
ORDER,ORD-10197,,MATCHED,0,NONE
ORDER,ORD-10198,,MATCHED,0,NONE
ORDER,ORD-10199,,MATCHED,0,NONE
ORDER,ORD-10200,,MATCHED,0,NONE
ORDER,ORD-10201,,MATCHED,0,NONE
ORDER,ORD-10202,,MATCHED,0,NONE
ORDER,ORD-10203,,MATCHED,0,NONE
ORDER,ORD-10204,,MATCHED,0,NONE
ORDER,ORD-10205,,MATCHED,0,NONE
ORDER,ORD-10206,,MATCHED,0,NONE
ORDER,ORD-10207,,MATCHED,0,NONE
ORDER,ORD-10208,,MATCHED,0,NONE
ORDER,ORD-10209,,MATCHED,0,NONE
ORDER,ORD-10210,,MATCHED,0,NONE
ORDER,ORD-10211,,MATCHED,0,NONE
ORDER,ORD-10212,,MATCHED,0,NONE
ORDER,ORD-10213,,MATCHED,0,NONE
ORDER,ORD-10214,,MATCHED,0,NONE
ORDER,ORD-10215,,MATCHED,0,NONE
ORDER,ORD-10216,,MATCHED,0,NONE
ORDER,ORD-10217,,MATCHED,0,NONE
ORDER,ORD-10218,,MATCHED,0,NONE
ORDER,ORD-10219,,MATCHED,0,NONE
ORDER,ORD-10220,,MATCHED,0,NONE
ORDER,ORD-10221,,MATCHED,0,NONE
ORDER,ORD-10222,,MATCHED,0,NONE
ORDER,ORD-10223,,MATCHED,0,NONE
ORDER,ORD-10224,,MATCHED,0,NONE
ORDER,ORD-10225,,MATCHED,0,NONE
ORDER,ORD-10226,,MATCHED,0,NONE
ORDER,ORD-10227,,MATCHED,0,NONE
ORDER,ORD-10228,,MATCHED,0,NONE
ORDER,ORD-10229,,MATCHED,0,NONE
ORDER,ORD-10230,,MATCHED,0,NONE
ORDER,ORD-10231,,MATCHED,0,NONE
ORDER,ORD-10232,,MATCHED,0,NONE
ORDER,ORD-10233,,MATCHED,0,NONE
ORDER,ORD-10234,,MATCHED,0,NONE
ORDER,ORD-10235,,MATCHED,0,NONE
ORDER,ORD-10236,,MATCHED,0,NONE
ORDER,ORD-10237,,MATCHED,0,NONE
ORDER,ORD-10238,,MATCHED,0,NONE
ORDER,ORD-10239,,MATCHED,0,NONE
ORDER,ORD-10240,,MATCHED,0,NONE
ORDER,ORD-10241,,MATCHED,0,NONE
ORDER,ORD-10242,,MATCHED,0,NONE
ORDER,ORD-10243,,MATCHED,0,NONE
ORDER,ORD-10244,,MATCHED,0,NONE
ORDER,ORD-10245,,MATCHED,0,NONE
ORDER,ORD-10246,,MATCHED,0,NONE
ORDER,ORD-10247,,MATCHED,0,NONE
ORDER,ORD-10248,,MATCHED,0,NONE
ORDER,ORD-10249,,MATCHED,0,NONE
ORDER,ORD-10250,,MATCHED,0,NONE
ORDER,ORD-10251,,MATCHED,0,NONE
ORDER,ORD-10252,,MATCHED,0,NONE
ORDER,ORD-10253,,MATCHED,0,NONE
ORDER,ORD-10254,,MATCHED,0,NONE
ORDER,ORD-10255,,MATCHED,0,NONE
ORDER,ORD-10256,,MATCHED,0,NONE
ORDER,ORD-10257,,MATCHED,0,NONE
ORDER,ORD-10258,,MATCHED,0,NONE
ORDER,ORD-10259,,MATCHED,0,NONE
ORDER,ORD-10260,,MATCHED,0,NONE
ORDER,ORD-10261,,MATCHED,0,NONE
ORDER,ORD-10262,,MATCHED,0,NONE
ORDER,ORD-10263,,MATCHED,0,NONE
ORDER,ORD-10264,,MATCHED,0,NONE
ORDER,ORD-10265,,MATCHED,0,NONE
ORDER,ORD-10266,,MATCHED,0,NONE
ORDER,ORD-10267,,MATCHED,0,NONE
ORDER,ORD-10268,,MATCHED,0,NONE
ORDER,ORD-10269,,MATCHED,0,NONE
ORDER,ORD-10270,,MATCHED,0,NONE
ORDER,ORD-10271,,MATCHED,0,NONE
ORDER,ORD-10272,,MATCHED,0,NONE
ORDER,ORD-10273,,MATCHED,0,NONE
ORDER,ORD-10274,,MATCHED,0,NONE
ORDER,ORD-10275,,MATCHED,0,NONE
ORDER,ORD-10276,,MATCHED,0,NONE
ORDER,ORD-10277,,MATCHED,0,NONE
ORDER,ORD-10278,,MATCHED,0,NONE
ORDER,ORD-10279,,MATCHED,0,NONE
ORDER,ORD-10280,,MATCHED,0,NONE
ORDER,ORD-10281,,MATCHED,0,NONE
ORDER,ORD-10282,,MATCHED,0,NONE
ORDER,ORD-10283,,MATCHED,0,NONE
ORDER,ORD-10284,,MATCHED,0,NONE
ORDER,ORD-10285,,MATCHED,0,NONE
ORDER,ORD-10286,,MATCHED,0,NONE
ORDER,ORD-10287,,MATCHED,0,NONE
ORDER,ORD-10288,,MATCHED,0,NONE
ORDER,ORD-10289,,MATCHED,0,NONE
ORDER,ORD-10290,,MATCHED,0,NONE
ORDER,ORD-10291,,PAYMENT_MISSING,51900,ORDER_WITHOUT_PAYMENT
ORDER,ORD-10292,,PAYMENT_MISSING,130400,ORDER_WITHOUT_PAYMENT
ORDER,ORD-10293,,PAYMENT_MISSING,232200,ORDER_WITHOUT_PAYMENT
ORDER,ORD-10294,,PAYMENT_MISSING,43100,ORDER_WITHOUT_PAYMENT
ORDER,ORD-10295,,PAYMENT_MISSING,65500,ORDER_WITHOUT_PAYMENT
ORDER,ORD-10296,,PAYMENT_MISSING,3051300,ORDER_WITHOUT_PAYMENT
ORDER,ORD-10297,,PAYMENT_MISSING,133000,ORDER_WITHOUT_PAYMENT
ORDER,ORD-10298,,PAYMENT_MISSING,91900,ORDER_WITHOUT_PAYMENT
ORDER,ORD-10299,,PAYMENT_MISSING,55000,ORDER_WITHOUT_PAYMENT
ORDER,ORD-10300,,PAYMENT_MISSING,105400,ORDER_WITHOUT_PAYMENT
ORDER,ORD-10301,,AMOUNT_MISMATCH,,PAYMENT_AMOUNT_MISMATCH
ORDER,ORD-10302,,AMOUNT_MISMATCH,,PAYMENT_AMOUNT_MISMATCH
ORDER,ORD-10303,,AMOUNT_MISMATCH,,PAYMENT_AMOUNT_MISMATCH
ORDER,ORD-10304,,AMOUNT_MISMATCH,,PAYMENT_AMOUNT_MISMATCH
ORDER,ORD-10305,,AMOUNT_MISMATCH,,PAYMENT_AMOUNT_MISMATCH
ORDER,ORD-10306,,PAYMENT_FAILED,187100,FAILED_PAYMENT
ORDER,ORD-10307,,PAYMENT_FAILED,199500,FAILED_PAYMENT
ORDER,ORD-10308,,PAYMENT_FAILED,42400,FAILED_PAYMENT
ORDER,ORD-10309,,PAYMENT_FAILED,229900,FAILED_PAYMENT
ORDER,ORD-10310,,PAYMENT_FAILED,105200,FAILED_PAYMENT
ORDER,ORD-10311,,PAYMENT_FAILED,50700,FAILED_PAYMENT
ORDER,ORD-10312,,PAYMENT_FAILED,265300,FAILED_PAYMENT
ORDER,ORD-10313,,PAYMENT_FAILED,280700,FAILED_PAYMENT
ORDER,ORD-10314,,PAYMENT_FAILED,56200,FAILED_PAYMENT
ORDER,ORD-10315,,PAYMENT_FAILED,472000,FAILED_PAYMENT
ORDER,ORD-10316,,DUPLICATE_PAYMENT_ATTEMPT,0,DUPLICATE_PAYMENT
ORDER,ORD-10317,,DUPLICATE_PAYMENT_ATTEMPT,0,DUPLICATE_PAYMENT
ORDER,ORD-10318,,DUPLICATE_PAYMENT_ATTEMPT,0,DUPLICATE_PAYMENT
ORDER,ORD-10319,,DUPLICATE_PAYMENT_ATTEMPT,0,DUPLICATE_PAYMENT
ORDER,ORD-10320,,DUPLICATE_PAYMENT_ATTEMPT,0,DUPLICATE_PAYMENT
PAYMENT,pay_09bos0765icaut,,ORPHAN_PAYMENT,927600,PAYMENT_WITHOUT_ORDER
PAYMENT,pay_r7mzakgmih6mv4,,ORPHAN_PAYMENT,1585000,PAYMENT_WITHOUT_ORDER
PAYMENT,pay_83y0224wk0yehv,,ORPHAN_PAYMENT,380600,PAYMENT_WITHOUT_ORDER
PAYMENT,pay_u9mjyg4s3meiur,,ORPHAN_PAYMENT,1165100,PAYMENT_WITHOUT_ORDER
PAYMENT,pay_jfysyz7pq4ddv2,,ORPHAN_PAYMENT,383800,PAYMENT_WITHOUT_ORDER
PAYMENT,pay_w56fkps0dxme4p,,ORPHAN_PAYMENT,1412300,PAYMENT_WITHOUT_ORDER
PAYMENT,pay_msdn1mxf1pi2oo,,ORPHAN_PAYMENT,1553200,PAYMENT_WITHOUT_ORDER
PAYMENT,pay_p1zscmo1pob7fu,,ORPHAN_PAYMENT,1753200,PAYMENT_WITHOUT_ORDER
PAYMENT,pay_w76xatoaztkszp,,NOT_IN_SETTLEMENT,,PAYMENT_NOT_IN_SETTLEMENT
PAYMENT,pay_ddfgs3jonou9iy,,NOT_IN_SETTLEMENT,,PAYMENT_NOT_IN_SETTLEMENT
PAYMENT,pay_x41dntcagrp2u4,,NOT_IN_SETTLEMENT,,PAYMENT_NOT_IN_SETTLEMENT
PAYMENT,pay_67i6yuj7yktxg4,,NOT_IN_SETTLEMENT,,PAYMENT_NOT_IN_SETTLEMENT
PAYMENT,pay_8v1zocfi4o6l1f,,NOT_IN_SETTLEMENT,,PAYMENT_NOT_IN_SETTLEMENT
SETTLEMENT,SETL-9001,UTR642181600903,MATCHED,0,NONE
SETTLEMENT,SETL-9002,UTR926818232569,MATCHED,0,NONE
SETTLEMENT,SETL-9003,,SETTLEMENT_MISSING_IN_BANK,5629532,SETTLEMENT_MISSING_IN_BANK
SETTLEMENT,SETL-9004,UTR228631509102,MATCHED,0,NONE
SETTLEMENT,SETL-9005,UTR165581090583,MATCHED,0,NONE
SETTLEMENT,SETL-9006,,BANK_AMOUNT_MISMATCH,,SETTLEMENT_BANK_AMOUNT_MISMATCH
SETTLEMENT,SETL-9007,UTR549052235770,MATCHED,0,NONE
SETTLEMENT,SETL-9008,,SETTLEMENT_MISSING_IN_BANK,4796175,SETTLEMENT_MISSING_IN_BANK
SETTLEMENT,SETL-9009,UTR546800751007,MATCHED,0,NONE
SETTLEMENT,SETL-9010,UTR356124109617,MATCHED,0,NONE
SETTLEMENT,SETL-9011,,DELAYED_BANK_CREDIT,0,DELAYED_BANK_CREDIT
SETTLEMENT,SETL-9012,UTR841251967484,MATCHED,0,NONE
SETTLEMENT,SETL-9013,UTR371018919289,MATCHED,0,NONE
SETTLEMENT,SETL-9014,UTR713162322852,MATCHED,0,NONE
SETTLEMENT,SETL-9015,UTR966086816343,MATCHED,0,NONE
SETTLEMENT,SETL-9016,,DELAYED_BANK_CREDIT,0,DELAYED_BANK_CREDIT
SETTLEMENT,SETL-9017,UTR549117195229,MATCHED,0,NONE
SETTLEMENT,SETL-9018,UTR192109792426,MATCHED,0,NONE
SETTLEMENT,SETL-9019,,SETTLEMENT_MISSING_IN_BANK,5869544,SETTLEMENT_MISSING_IN_BANK
SETTLEMENT,SETL-9020,UTR325487640087,MATCHED,0,NONE
SETTLEMENT,SETL-9021,UTR508633354870,MATCHED,0,NONE
SETTLEMENT,SETL-9022,UTR959715822589,MATCHED,0,NONE
SETTLEMENT,SETL-9023,,BANK_AMOUNT_MISMATCH,,SETTLEMENT_BANK_AMOUNT_MISMATCH
SETTLEMENT,SETL-9024,UTR567947908034,MATCHED,0,NONE
SETTLEMENT,SETL-9025,UTR596305599781,MATCHED,0,NONE
SETTLEMENT,SETL-9026,UTR100179495626,MATCHED,0,NONE
SETTLEMENT,SETL-9027,UTR610296419114,MATCHED,0,NONE
SETTLEMENT,SETL-9028,,DELAYED_BANK_CREDIT,0,DELAYED_BANK_CREDIT
SETTLEMENT,SETL-9029,UTR100718898818,MATCHED,0,NONE
SETTLEMENT,SETL-9030,,SETTLEMENT_MISSING_IN_BANK,2336330,SETTLEMENT_MISSING_IN_BANK
SETTLEMENT,SETL-9031,UTR758303823468,MATCHED,0,NONE
SETTLEMENT,SETL-9032,UTR519532396020,MATCHED,0,NONE
SETTLEMENT,SETL-9033,UTR486543800499,MATCHED,0,NONE
SETTLEMENT,SETL-9034,UTR795107981187,MATCHED,0,NONE
SETTLEMENT,SETL-9035,UTR740863899140,MATCHED,0,NONE
