shipment_id,order_id,carrier,tracking_number,status,shipped_at,delivered_at,created_at
SHIP-10097,ORD-10097,Bluedart,TRK808705238,DELIVERED,2024-01-27 00:31:00,2024-01-28 17:31:00,2024-01-27 00:31:00
SHIP-10098,ORD-10098,Bluedart,TRK930353157,DELIVERED,2024-07-14 07:02:00,2024-07-16 08:02:00,2024-07-14 07:02:00
SHIP-10099,ORD-10099,DTDC,TRK455569462,IN_TRANSIT,2024-08-28 09:55:00,,2024-08-28 09:55:00
SHIP-10100,ORD-10100,Ekart,TRK291735734,DELIVERED,2024-02-06 10:09:00,2024-02-07 12:09:00,2024-02-06 10:09:00
SHIP-10101,ORD-10101,Bluedart,TRK740563507,DELIVERED,2024-11-14 20:29:00,2024-11-16 23:29:00,2024-11-14 20:29:00
SHIP-10102,ORD-10102,DTDC,TRK649136331,DELIVERED,2024-08-27 22:21:00,2024-08-29 10:21:00,2024-08-27 22:21:00
SHIP-10103,ORD-10103,Ekart,TRK147659674,DELIVERED,2024-03-24 15:16:00,2024-03-27 00:16:00,2024-03-24 15:16:00
SHIP-10104,ORD-10104,DTDC,TRK837507241,DELIVERED,2024-07-23 10:24:00,2024-07-25 09:24:00,2024-07-23 10:24:00
SHIP-10105,ORD-10105,FedEx,TRK175133802,IN_TRANSIT,2024-06-04 13:43:00,,2024-06-04 13:43:00
SHIP-10106,ORD-10106,DTDC,TRK437064353,DELIVERED,2024-08-08 06:26:00,2024-08-11 04:26:00,2024-08-08 06:26:00
SHIP-10107,ORD-10107,Ekart,TRK644518647,DELIVERED,2024-09-07 22:47:00,2024-09-09 18:47:00,2024-09-07 22:47:00
SHIP-10108,ORD-10108,FedEx,TRK848621833,DELIVERED,2024-08-10 15:50:00,2024-08-12 03:50:00,2024-08-10 15:50:00
SHIP-10109,ORD-10109,FedEx,TRK813962536,IN_TRANSIT,2024-08-27 01:10:00,,2024-08-27 01:10:00
SHIP-10110,ORD-10110,DTDC,TRK711072118,DELIVERED,2024-02-15 08:01:00,2024-02-16 08:01:00,2024-02-15 08:01:00
SHIP-10111,ORD-10111,Ekart,TRK408071259,DELIVERED,2024-12-09 12:25:00,2024-12-12 02:25:00,2024-12-09 12:25:00
SHIP-10112,ORD-10112,Ekart,TRK599277266,DELIVERED,2024-04-19 00:04:00,2024-04-21 08:04:00,2024-04-19 00:04:00
SHIP-10113,ORD-10113,FedEx,TRK952266893,IN_TRANSIT,2024-10-11 11:34:00,,2024-10-11 11:34:00
SHIP-10114,ORD-10114,Bluedart,TRK404713332,DELIVERED,2024-07-28 07:41:00,2024-07-29 12:41:00,2024-07-28 07:41:00
SHIP-10115,ORD-10115,Delhivery,TRK822408848,DELIVERED,2024-09-09 02:57:00,2024-09-10 11:57:00,2024-09-09 02:57:00
SHIP-10117,ORD-10117,Bluedart,TRK149621604,DELIVERED,2024-09-29 08:43:00,2024-10-01 23:43:00,2024-09-29 08:43:00
SHIP-10118,ORD-10118,Bluedart,TRK588999385,DELIVERED,2024-05-19 09:35:00,2024-05-20 21:35:00,2024-05-19 09:35:00
SHIP-10119,ORD-10119,FedEx,TRK630833445,DELIVERED,2024-10-02 08:28:00,2024-10-05 01:28:00,2024-10-02 08:28:00
SHIP-10120,ORD-10120,Bluedart,TRK906341966,DELIVERED,2024-11-01 18:22:00,2024-11-03 21:22:00,2024-11-01 18:22:00
SHIP-10121,ORD-10121,Delhivery,TRK288856883,DELIVERED,2024-04-02 07:04:00,2024-04-04 12:04:00,2024-04-02 07:04:00
SHIP-10122,ORD-10122,Bluedart,TRK698509918,DELIVERED,2024-01-29 02:35:00,2024-01-31 07:35:00,2024-01-29 02:35:00
SHIP-10123,ORD-10123,Delhivery,TRK960514523,DELIVERED,2024-09-09 01:59:00,2024-09-11 12:59:00,2024-09-09 01:59:00
SHIP-10124,ORD-10124,DTDC,TRK440696084,IN_TRANSIT,2024-08-14 06:30:00,,2024-08-14 06:30:00
SHIP-10125,ORD-10125,DTDC,TRK975106572,DELIVERED,2024-02-04 10:47:00,2024-02-06 13:47:00,2024-02-04 10:47:00
SHIP-10126,ORD-10126,DTDC,TRK578796089,DELIVERED,2024-10-16 06:09:00,2024-10-18 10:09:00,2024-10-16 06:09:00
SHIP-10127,ORD-10127,Ekart,TRK907214179,DELIVERED,2024-08-02 09:58:00,2024-08-04 18:58:00,2024-08-02 09:58:00
SHIP-10128,ORD-10128,FedEx,TRK772966010,DELIVERED,2024-08-19 10:38:00,2024-08-20 14:38:00,2024-08-19 10:38:00
SHIP-10129,ORD-10129,Ekart,TRK351785565,DELIVERED,2024-11-13 17:46:00,2024-11-16 03:46:00,2024-11-13 17:46:00
SHIP-10130,ORD-10130,Bluedart,TRK248578017,DELIVERED,2024-05-16 15:21:00,2024-05-19 11:21:00,2024-05-16 15:21:00
SHIP-10131,ORD-10131,Delhivery,TRK858511779,DELIVERED,2024-03-21 19:43:00,2024-03-23 21:43:00,2024-03-21 19:43:00
SHIP-10132,ORD-10132,Ekart,TRK682624278,DELIVERED,2024-04-28 16:48:00,2024-04-30 05:48:00,2024-04-28 16:48:00
SHIP-10133,ORD-10133,FedEx,TRK518197538,IN_TRANSIT,2024-05-16 20:54:00,,2024-05-16 20:54:00
SHIP-10134,ORD-10134,Bluedart,TRK922050912,DELIVERED,2024-10-06 05:00:00,2024-10-07 05:00:00,2024-10-06 05:00:00
SHIP-10135,ORD-10135,Ekart,TRK420632895,DELIVERED,2024-02-01 00:51:00,2024-02-03 10:51:00,2024-02-01 00:51:00
SHIP-10136,ORD-10136,DTDC,TRK958851904,DELIVERED,2024-08-28 11:27:00,2024-08-30 18:27:00,2024-08-28 11:27:00
SHIP-10137,ORD-10137,Delhivery,TRK393062061,DELIVERED,2024-09-09 20:22:00,2024-09-11 20:22:00,2024-09-09 20:22:00
SHIP-10138,ORD-10138,Ekart,TRK818197581,DELIVERED,2024-11-06 02:08:00,2024-11-09 00:08:00,2024-11-06 02:08:00
SHIP-10139,ORD-10139,Delhivery,TRK601856351,IN_TRANSIT,2024-05-18 17:20:00,,2024-05-18 17:20:00
SHIP-10140,ORD-10140,Bluedart,TRK523076025,DELIVERED,2024-11-29 21:15:00,2024-12-01 02:15:00,2024-11-29 21:15:00
SHIP-10141,ORD-10141,FedEx,TRK245706210,DELIVERED,2024-02-17 02:33:00,2024-02-18 05:33:00,2024-02-17 02:33:00
SHIP-10142,ORD-10142,Ekart,TRK507059676,DELIVERED,2024-03-24 06:45:00,2024-03-26 02:45:00,2024-03-24 06:45:00
SHIP-10143,ORD-10143,Ekart,TRK917364173,DELIVERED,2024-07-25 07:19:00,2024-07-28 07:19:00,2024-07-25 07:19:00
SHIP-10144,ORD-10144,FedEx,TRK370874491,DELIVERED,2024-03-01 10:07:00,2024-03-02 11:07:00,2024-03-01 10:07:00
SHIP-10145,ORD-10145,DTDC,TRK155926488,IN_TRANSIT,2024-10-05 07:42:00,,2024-10-05 07:42:00
SHIP-10146,ORD-10146,Delhivery,TRK798086909,DELIVERED,2024-11-16 21:59:00,2024-11-19 21:59:00,2024-11-16 21:59:00
SHIP-10147,ORD-10147,Bluedart,TRK365518424,DELIVERED,2024-05-27 21:04:00,2024-05-30 12:04:00,2024-05-27 21:04:00
SHIP-10148,ORD-10148,Delhivery,TRK356135680,DELIVERED,2024-11-07 16:50:00,2024-11-10 04:50:00,2024-11-07 16:50:00
SHIP-10149,ORD-10149,Delhivery,TRK599326438,DELIVERED,2024-02-18 01:11:00,2024-02-19 11:11:00,2024-02-18 01:11:00
SHIP-10150,ORD-10150,DTDC,TRK752027025,IN_TRANSIT,2024-03-20 01:07:00,,2024-03-20 01:07:00
SHIP-10151,ORD-10151,Delhivery,TRK433975497,DELIVERED,2024-07-31 21:31:00,2024-08-02 16:31:00,2024-07-31 21:31:00
SHIP-10152,ORD-10152,DTDC,TRK827296111,IN_TRANSIT,2024-11-03 10:55:00,,2024-11-03 10:55:00
SHIP-10153,ORD-10153,FedEx,TRK867741192,DELIVERED,2024-06-24 16:37:00,2024-06-27 12:37:00,2024-06-24 16:37:00
SHIP-10154,ORD-10154,Delhivery,TRK209415691,DELIVERED,2024-10-28 09:58:00,2024-10-31 04:58:00,2024-10-28 09:58:00
SHIP-10155,ORD-10155,DTDC,TRK964929067,DELIVERED,2024-06-26 10:39:00,2024-06-27 12:39:00,2024-06-26 10:39:00
SHIP-10156,ORD-10156,Ekart,TRK672030854,DELIVERED,2024-04-07 15:21:00,2024-04-08 19:21:00,2024-04-07 15:21:00
SHIP-10157,ORD-10157,DTDC,TRK795294275,DELIVERED,2024-06-12 18:39:00,2024-06-15 01:39:00,2024-06-12 18:39:00
SHIP-10158,ORD-10158,Bluedart,TRK565492204,IN_TRANSIT,2024-11-30 00:33:00,,2024-11-30 00:33:00
SHIP-10159,ORD-10159,Delhivery,TRK567600762,DELIVERED,2024-10-30 09:00:00,2024-11-02 02:00:00,2024-10-30 09:00:00
SHIP-10160,ORD-10160,Ekart,TRK761330848,DELIVERED,2024-08-22 00:03:00,2024-08-24 06:03:00,2024-08-22 00:03:00
SHIP-10161,ORD-10161,FedEx,TRK567694547,DELIVERED,2024-05-16 10:57:00,2024-05-18 03:57:00,2024-05-16 10:57:00
SHIP-10162,ORD-10162,Ekart,TRK363598427,DELIVERED,2024-07-13 18:44:00,2024-07-15 11:44:00,2024-07-13 18:44:00
SHIP-10163,ORD-10163,FedEx,TRK361846370,DELIVERED,2024-11-13 02:18:00,2024-11-15 17:18:00,2024-11-13 02:18:00
SHIP-10164,ORD-10164,FedEx,TRK461203124,DELIVERED,2024-02-17 05:23:00,2024-02-18 16:23:00,2024-02-17 05:23:00
SHIP-10165,ORD-10165,FedEx,TRK327761953,DELIVERED,2024-06-02 14:16:00,2024-06-04 11:16:00,2024-06-02 14:16:00
SHIP-10166,ORD-10166,Ekart,TRK740116562,DELIVERED,2024-07-11 03:23:00,2024-07-13 14:23:00,2024-07-11 03:23:00
SHIP-10167,ORD-10167,Bluedart,TRK654724287,IN_TRANSIT,2024-03-28 13:10:00,,2024-03-28 13:10:00
SHIP-10168,ORD-10168,Delhivery,TRK873174285,DELIVERED,2024-09-12 17:21:00,2024-09-15 17:21:00,2024-09-12 17:21:00
SHIP-10169,ORD-10169,Delhivery,TRK841536135,DELIVERED,2024-12-07 22:16:00,2024-12-10 02:16:00,2024-12-07 22:16:00
SHIP-10170,ORD-10170,Bluedart,TRK199915275,DELIVERED,2024-03-21 20:48:00,2024-03-24 16:48:00,2024-03-21 20:48:00
SHIP-10172,ORD-10172,Delhivery,TRK428786222,DELIVERED,2024-02-25 00:42:00,2024-02-27 06:42:00,2024-02-25 00:42:00
SHIP-10173,ORD-10173,DTDC,TRK670073085,DELIVERED,2024-01-13 20:32:00,2024-01-15 17:32:00,2024-01-13 20:32:00
SHIP-10174,ORD-10174,Ekart,TRK854684750,DELIVERED,2024-05-26 22:41:00,2024-05-28 14:41:00,2024-05-26 22:41:00
SHIP-10175,ORD-10175,Delhivery,TRK229553265,DELIVERED,2024-11-14 01:00:00,2024-11-15 08:00:00,2024-11-14 01:00:00
SHIP-10176,ORD-10176,DTDC,TRK918394863,DELIVERED,2024-11-18 08:17:00,2024-11-19 21:17:00,2024-11-18 08:17:00
SHIP-10177,ORD-10177,FedEx,TRK396889215,DELIVERED,2024-07-06 21:19:00,2024-07-09 11:19:00,2024-07-06 21:19:00
SHIP-10178,ORD-10178,Ekart,TRK207939087,DELIVERED,2024-03-30 21:20:00,2024-04-01 11:20:00,2024-03-30 21:20:00
SHIP-10179,ORD-10179,Ekart,TRK292673892,DELIVERED,2024-05-20 04:21:00,2024-05-21 12:21:00,2024-05-20 04:21:00
SHIP-10180,ORD-10180,Ekart,TRK148872110,IN_TRANSIT,2024-02-29 13:22:00,,2024-02-29 13:22:00
SHIP-10181,ORD-10181,Ekart,TRK848846217,IN_TRANSIT,2024-12-12 09:58:00,,2024-12-12 09:58:00
SHIP-10182,ORD-10182,Bluedart,TRK113169872,DELIVERED,2024-01-09 05:39:00,2024-01-11 11:39:00,2024-01-09 05:39:00
SHIP-10183,ORD-10183,FedEx,TRK465830215,DELIVERED,2024-12-10 15:49:00,2024-12-12 07:49:00,2024-12-10 15:49:00
SHIP-10184,ORD-10184,FedEx,TRK222500131,DELIVERED,2024-04-30 09:16:00,2024-05-02 16:16:00,2024-04-30 09:16:00
SHIP-10185,ORD-10185,Bluedart,TRK719571745,DELIVERED,2024-11-27 09:42:00,2024-11-28 18:42:00,2024-11-27 09:42:00
SHIP-10186,ORD-10186,Delhivery,TRK970957171,DELIVERED,2024-02-29 19:12:00,2024-03-02 00:12:00,2024-02-29 19:12:00
SHIP-10187,ORD-10187,Delhivery,TRK227186396,DELIVERED,2024-02-20 03:14:00,2024-02-22 17:14:00,2024-02-20 03:14:00
SHIP-10188,ORD-10188,DTDC,TRK949051496,DELIVERED,2024-12-10 21:48:00,2024-12-12 21:48:00,2024-12-10 21:48:00
SHIP-10189,ORD-10189,FedEx,TRK575368059,DELIVERED,2024-08-01 20:12:00,2024-08-03 23:12:00,2024-08-01 20:12:00
SHIP-10191,ORD-10191,Ekart,TRK710561240,DELIVERED,2024-12-17 20:36:00,2024-12-20 20:36:00,2024-12-17 20:36:00
SHIP-10192,ORD-10192,Delhivery,TRK771641650,DELIVERED,2024-05-21 14:27:00,2024-05-23 00:27:00,2024-05-21 14:27:00
SHIP-10193,ORD-10193,Delhivery,TRK286630878,DELIVERED,2024-11-25 07:42:00,2024-11-26 07:42:00,2024-11-25 07:42:00
SHIP-10194,ORD-10194,FedEx,TRK583724666,DELIVERED,2024-03-06 15:23:00,2024-03-08 09:23:00,2024-03-06 15:23:00
SHIP-10195,ORD-10195,Bluedart,TRK348545713,DELIVERED,2024-04-30 01:56:00,2024-05-02 21:56:00,2024-04-30 01:56:00
SHIP-10196,ORD-10196,FedEx,TRK176428684,DELIVERED,2024-03-08 07:19:00,2024-03-10 23:19:00,2024-03-08 07:19:00
SHIP-10197,ORD-10197,DTDC,TRK809939880,DELIVERED,2024-01-14 16:02:00,2024-01-16 19:02:00,2024-01-14 16:02:00
SHIP-10198,ORD-10198,Bluedart,TRK684719405,DELIVERED,2024-01-09 15:23:00,2024-01-11 08:23:00,2024-01-09 15:23:00
SHIP-10199,ORD-10199,Delhivery,TRK176675731,DELIVERED,2024-02-03 06:38:00,2024-02-05 20:38:00,2024-02-03 06:38:00
SHIP-10200,ORD-10200,DTDC,TRK409893263,DELIVERED,2024-08-20 12:29:00,2024-08-23 08:29:00,2024-08-20 12:29:00
