settlement_id,payment_id,amount,fee,tax,net_amount
SETL-9014,pay_9lzrk79ufu6py0,381200,7624,1372,372204
SETL-9015,pay_xek47o3lqi7e1d,293400,5868,1056,286476
SETL-9015,pay_km95d0p92k38p6,135500,2710,487,132303
SETL-9015,pay_p4juw7wr0r35ik,138300,2766,497,135037
SETL-9015,pay_p1zscmo1pob7fu,1753200,35064,6311,1711825
SETL-9015,pay_s9bp4m18o1bj9r,803800,16076,2893,784831
SETL-9015,pay_zlboriq8hke226,94500,1890,340,92270
SETL-9015,pay_u7jae58huxg2my,455900,9118,1641,445141
SETL-9015,pay_ehou6qlz2rwgwa,249600,4992,898,243710
SETL-9015,pay_f5a7qy8yb7w8p7,1411000,28220,5079,1377701
SETL-9016,pay_mlw83y0mahym2z,304300,6086,1095,297119
SETL-9016,pay_zjsszwd0w9ry79,89700,1794,322,87584
SETL-9016,pay_gnrfio878iyhhg,2711200,54224,9760,2647216
SETL-9016,pay_d0tgsiwg0odwmq,148000,2960,532,144508
SETL-9016,pay_pprcjiwvhdk8lw,232600,4652,837,227111
SETL-9016,pay_b700ucrgb93wkc,543800,10876,1957,530967
SETL-9016,pay_kbvsigbiaf92mo,293900,5878,1058,286964
SETL-9016,pay_ylh9p1earphbxv,176800,3536,636,172628
SETL-9016,pay_efoztp7bd4w1ar,263700,5274,949,257477
SETL-9017,pay_zk94yxfiblejgu,259100,5182,932,252986
SETL-9017,pay_8q4vhu4bawz940,344500,6890,1240,336370
SETL-9017,pay_bzegbl2qgv3dr2,983800,19676,3541,960583
SETL-9017,pay_1tv18kgyggsnpu,2784400,55688,10023,2718689
SETL-9017,pay_zdo74v1qx8ertb,109000,2180,392,106428
SETL-9017,pay_jbzutrutlq5v4f,2223300,44466,8003,2170831
SETL-9017,pay_88o98bv78hu7f0,272000,5440,979,265581
SETL-9017,pay_ytuw6taq6ulm9k,266100,5322,957,259821
SETL-9017,pay_n085rntdr5xyfc,1188200,23764,4277,1160159
SETL-9018,pay_5ao20u9isygjjf,44100,882,158,43060
SETL-9018,pay_aawe429omuwahk,59500,1190,214,58096
SETL-9018,pay_zd76szn9dde3cu,452900,9058,1630,442212
SETL-9018,pay_hjku2w8zuvjutp,220900,4418,795,215687
SETL-9018,pay_3gy1fkoldxb7gb,149100,2982,536,145582
SETL-9018,pay_vgrf1hx6zdcujq,215200,4304,774,210122
SETL-9018,pay_u3dyms1mwnpr42,445500,8910,1603,434987
SETL-9018,pay_ohxs75t0ic0ra6,568000,11360,2044,554596
SETL-9018,pay_ta5ivrocvitwu3,825400,16508,2971,805921
SETL-9019,pay_tnd6r30ojhe4h3,154300,3086,555,150659
SETL-9019,pay_r7mzakgmih6mv4,1585000,31700,5706,1547594
SETL-9019,pay_kl8cgn0t6dvwrb,403100,8062,1451,393587
SETL-9019,pay_y4vpw232utvg9k,1689300,33786,6081,1649433
SETL-9019,pay_mlfzkicwmpeqyd,682600,13652,2457,666491
SETL-9019,pay_6jxnnngbpj4ufz,313300,6266,1127,305907
SETL-9019,pay_szdximyn4u9bxf,116400,2328,419,113653
SETL-9019,pay_smv30qabxw2eow,67413,1348,242,65823
SETL-9019,pay_lx2toowt9nm3v2,1000000,20000,3600,976400
SETL-9020,pay_04cdpqvl00ezzf,49900,998,179,48723
SETL-9020,pay_3d43e7b7p0rnpm,77000,1540,277,75183
SETL-9020,pay_n0dl5e11e9ftax,571000,11420,2055,557525
SETL-9020,pay_s3qt36qnyy95g5,893900,17878,3218,872804
SETL-9020,pay_jw6qdbtfbsciqu,980600,19612,3530,957458
SETL-9020,pay_tngvn1kicjn2fo,398700,7974,1435,389291
SETL-9020,pay_28xg8y72ivglye,260800,5216,938,254646
SETL-9020,pay_fx7xjz6us7rp42,215500,4310,775,210415
SETL-9020,pay_la100qxmcthphj,117200,2344,421,114435
SETL-9021,pay_zs34jtgxnx4sn6,39200,784,141,38275
SETL-9021,pay_qsspye9r1f63ai,1995600,39912,7184,1948504
SETL-9021,pay_swk2rv239moft6,61900,1238,222,60440
SETL-9021,pay_12hxrjm4t8bp6n,229100,4582,824,223694
SETL-9021,pay_jb354mype46aex,3015400,60308,10855,2944237
SETL-9021,pay_ctwjlsh3tow4yc,163900,3278,590,160032
SETL-9021,pay_hyexf7jxjn6fok,1263700,25274,4549,1233877
SETL-9021,pay_jtgq01tee13n3b,101000,2020,363,98617
SETL-9021,pay_7wwbslulzfy981,126700,2534,456,123710
SETL-9022,pay_jnxz6ytipa877k,138310,2766,497,135047
SETL-9022,pay_c6k8djzr5swk8t,265400,5308,955,259137
SETL-9022,pay_o9p4627nayyosy,432300,8646,1556,422098
SETL-9022,pay_s6nbnqbnxzu1em,2055100,41102,7398,2006600
SETL-9022,pay_m0a6mdmmmxixv6,260000,5200,936,253864
SETL-9022,pay_ntk63n2qb6gs8g,942000,18840,3391,919769
SETL-9022,pay_3bfh024kwk585x,602500,12050,2169,588281
SETL-9022,pay_4y89orvscyozpn,40500,810,145,39545
SETL-9022,pay_5gzpl1qweehwjq,36600,732,131,35737
SETL-9023,pay_ueybisbo551ldq,656500,13130,2363,641007
SETL-9023,pay_uu5wryesu4fcl5,98500,1970,354,96176
SETL-9023,pay_h1uf22eppprat0,50300,1006,181,49113
SETL-9023,pay_fgzvrctlt4q9bc,474100,9482,1706,462912
SETL-9023,pay_kz2u2tnheyr8ln,253900,5078,914,247908
SETL-9023,pay_y6t5padnbcj29y,139100,2782,500,135818
SETL-9023,pay_iqnf74t60plozj,992900,19858,3574,969468
SETL-9023,pay_o4busu9f8q8ghg,101800,2036,366,99398
SETL-9023,pay_0rlexdw6lqwlvu,481100,9622,1731,469747
SETL-9024,pay_haz7t0uum3i8qo,1967800,39356,7084,1921360
SETL-9024,pay_4vfk9sm7vnawjg,290100,5802,1044,283254
SETL-9024,pay_mh07wph6fe0mp2,4597500,91950,16551,4488999
SETL-9024,pay_a9oekntbz3m55i,1283600,25672,4620,1253308
SETL-9024,pay_ede1zublekvl9p,360200,7204,1296,351700
SETL-9024,pay_qerxdouadvwksh,147500,2950,531,144019
SETL-9024,pay_jfysyz7pq4ddv2,383800,7676,1381,374743
SETL-9024,pay_uu80mb1l6314cq,323600,6472,1164,315964
SETL-9025,pay_ul62cf4mntfvge,61500,1230,221,60049
SETL-9025,pay_a7zvky2refjqig,104600,2092,376,102132
SETL-9025,pay_vqebwuwqheyto5,375600,7512,1352,366736
SETL-9025,pay_s7yt2m6twd1xmx,176100,3522,633,171945
SETL-9025,pay_mjdxo100vhmygt,190200,3804,684,185712
SETL-9025,pay_jodck82853uy8u,130800,2616,470,127714
SETL-9025,pay_1vsmado8e7flqh,760100,15202,2736,742162
SETL-9025,pay_22iniwc5amln4p,367500,7350,1323,358827
SETL-9026,pay_ff7so8w5038hvq,35700,714,128,34858
SETL-9026,pay_7te8tvq05pxt6r,2622300,52446,9440,2560414
SETL-9026,pay_ypntrfzwkxxjve,186000,3720,669,181611
SETL-9026,pay_wb7sjwh55hewlg,235600,4712,848,230040
SETL-9026,pay_uxx8l2ddh0uyhn,488800,9776,1759,477265
SETL-9026,pay_4rs7gu0env5sn9,46600,932,167,45501
SETL-9026,pay_g3v23gxj0mqvin,2477600,49552,8919,2419129
SETL-9026,pay_xb02b6lkc86y5o,343200,6864,1235,335101
SETL-9027,pay_j49yd82795e5iz,548000,10960,1972,535068
SETL-9027,pay_gur9u1oe5ei28d,47500,950,171,46379
SETL-9027,pay_tgbcvarlw3mg25,99900,1998,359,97543
SETL-9027,pay_1whhkt1yjfe8ud,216000,4320,777,210903
SETL-9027,pay_ybno2y8b0h54pi,203600,4072,732,198796
SETL-9027,pay_mbnw8bkxcgw1vg,58300,1166,209,56925
SETL-9027,pay_984uvkyrmjljx8,432000,8640,1555,421805
SETL-9027,pay_5rlqiob0nlw0vs,512500,10250,1845,500405
SETL-9028,pay_j88qeoz0kz4z7w,682400,13648,2456,666296
SETL-9028,pay_3dxb3n27m5p7e1,323700,6474,1165,316061
SETL-9028,pay_3addqhkgad7x48,192300,3846,692,187762
SETL-9028,pay_hyl2ld05nhqr6f,157000,3140,565,153295
SETL-9028,pay_0qzsa7yvdqbsxl,296000,5920,1065,289015
SETL-9028,pay_11v127my89sfqe,290200,5804,1044,283352
SETL-9028,pay_hukwqvr1h61iao,120400,2408,433,117559
SETL-9028,pay_09bos0765icaut,927600,18552,3339,905709
SETL-9029,pay_kxwexkg6xb1r8v,466200,9324,1678,455198
SETL-9029,pay_jqfwwxr5rdnpx2,1433700,28674,5161,1399865
SETL-9029,pay_8rhnuxorzpgu2h,374600,7492,1348,365760
SETL-9029,pay_mpw5d3go8jn42x,533800,10676,1921,521203
SETL-9029,pay_euidjipnf8f3gr,487000,9740,1753,475507
SETL-9029,pay_45cri8bixoiq2q,119100,2382,428,116290
SETL-9029,pay_ezc7fov2ygnmby,518900,10378,1868,506654
SETL-9029,pay_voi8uyyf1irym8,743500,14870,2676,725954
SETL-9030,pay_c2jwjj0v60xng2,294100,5882,1058,287160
SETL-9030,pay_n5gjj8mgpp1noq,142700,2854,513,139333
SETL-9030,pay_fkjnawnga41izx,534500,10690,1924,521886
SETL-9030,pay_av71448n7odkef,101300,2026,364,98910
SETL-9030,pay_0q24bozl01q3m7,229700,4594,826,224280
SETL-9030,pay_2lhgcsotdhhlmh,988100,19762,3557,964781
SETL-9030,pay_cd31nrxd356waf,46000,920,165,44915
SETL-9030,pay_84nl65ujg1so1e,56400,1128,203,55069
SETL-9031,pay_twhwhy4h350p3c,90100,1802,324,87974
SETL-9031,pay_4yk1b3d5050ui2,337500,6750,1215,329535
SETL-9031,pay_1yrujoqw5dsk7n,56800,1136,204,55460
SETL-9031,pay_vpbl9ot7txkdot,593700,11874,2137,579689
SETL-9031,pay_i014o46w4jkfyi,361000,7220,1299,352481
SETL-9031,pay_o3m25a5piskffv,194000,3880,698,189422
SETL-9031,pay_rlf8a9kepadahp,202100,4042,727,197331
SETL-9031,pay_chm40oeytl8hbg,400300,8006,1441,390853
SETL-9032,pay_qxm0632cwt04ch,761600,15232,2741,743627
SETL-9032,pay_3litnt0mq8abka,123600,2472,444,120684
SETL-9032,pay_v07oxk8c1gra47,341100,6822,1227,333051
SETL-9032,pay_btr23qiua08ekx,172400,3448,620,168332
SETL-9032,pay_j2k8xpnmjqy3od,642900,12858,2314,627728
SETL-9032,pay_gwjeyub19txcyj,185600,3712,668,181220
SETL-9032,pay_cxz2ei9212pgym,148700,2974,535,145191
SETL-9032,pay_ayfquv9qezg5wz,712700,14254,2565,695881
SETL-9033,pay_2rtsoyg9zqyahu,140600,2812,506,137282
SETL-9033,pay_ze4ex6u86zjq7w,256200,5124,922,250154
SETL-9033,pay_ylnfxj4pnjy1o2,252700,5054,909,246737
SETL-9033,pay_lay64yfds0dji9,372400,7448,1340,363612
SETL-9033,pay_tteavt8k06moxs,739700,14794,2662,722244
SETL-9033,pay_18qqvaecw9yil8,105100,2102,378,102620
SETL-9033,pay_sosx43wfsqg8x8,137300,2746,494,134060
SETL-9033,pay_dmt8vt43pt5r5r,169200,3384,609,165207
SETL-9034,pay_d7oi0pesgbm65q,81600,1632,293,79675
SETL-9034,pay_rvdh8uzb7kr0ay,124900,2498,449,121953
SETL-9034,pay_5egtbxpspaqalu,2201400,44028,7925,2149447
SETL-9034,pay_non4uaauwidqj4,290931,5818,1047,284066
SETL-9034,pay_s2zge2j51b3jcz,286100,5722,1029,279349
SETL-9034,pay_9kkh4a3yjtu7fb,544400,10888,1959,531553
SETL-9034,pay_4qke2gjr81bmqf,364600,7292,1312,355996
SETL-9034,pay_8nbiquwrxze1hm,281000,5620,1011,274369
SETL-9035,pay_er7u8h0imjyjcm,4949600,98992,17818,4832790
SETL-9035,pay_61taa0i5ldslcb,379100,7582,1364,370154
SETL-9035,pay_rh05hhiwfd7yxw,436300,8726,1570,426004
SETL-9035,pay_s2wyjxtjgcedqq,114800,2296,413,112091
SETL-9035,pay_yirq8rtm4j3dab,1392500,27850,5013,1359637
SETL-9035,pay_fs8314y2lr0jy3,292226,5844,1051,285331
SETL-9035,pay_7azv2efuu8dd22,144300,2886,519,140895
SETL-9035,pay_2sug5hcbbmhnqo,664200,13284,2391,648525
SETL-2A-001,pay_ejcy127h6gmd47,600000,12000,2160,585840
SETL-2A-001,pay_zx25qbrmqg1ved,700000,14000,2520,683480
SETL-2A-001,pay_7b1ijiys2n75bx,500000,10000,1800,488200
SETL-2A-002,pay_rnu8c0s41kssvi,500000,10000,1800,488200
SETL-2A-002,pay_tgv44ftj5ccasb,500000,10000,1800,488200
SETL-2A-003,pay_9zn9i9h0dxho87,600000,12000,2160,585840
SETL-2A-003,pay_83y0224wk0yehv,400000,8000,1440,390560
SETL-2A-004,pay_774rzgyd49pso1,625000,12500,0,612500
SETL-2A-004,pay_yur4sor8wm9lbb,625000,12500,0,612500
SETL-2A-005,pay_9q2l48c1cqg433,450000,9000,1620,439380
SETL-2A-005,pay_1kfk7y6qxdsgv6,450000,9000,1620,439380
